,hotelname,rating,reviews,star rating, location, nearest, distance nearest,price,tax,tax
56,Hanoi Inner Hotel,5.0,874.0,3.0,Old Quarter ,,,D 25,6         ,
57,Serene Boutique Hotel & Spa,5.0,968.0,4.0,Old Quarter ,Old Quarter,640 m ,D 35,         ,
58,La Beaute de Hanoi Hotel,5.0,1655.0,3.0,Old Quarter ,Old Quarter,690 m ,D 37,9         ,
59,Skylark Hotel Hanoi,4.5,685.0,4.0,Hoan Kiem ,Old Quarter,1.6 km ,D 33,10         ,
60,Silk Queen Grand Hotel,4.0,236.0,4.0,Old Quarter ,Old Quarter,630 m ,D 41,11         ,
61,Dragon Pearl Hotel,4.5,353.0,3.0,Hoan Kiem ,Old Quarter,1.6 km ,D 30,7         ,
62,Hanoi Golden Holiday Hotel,5.0,446.0,3.0,Old Quarter ,,,D 35,         ,
63,Hanoi Charming House,4.5,1373.0,2.0,Old Quarter ,,,D 16,4         ,
64,May De Ville Luxury Hotel & Spa,4.0,1060.0,4.0,Old Quarter ,,,D 67,16         ,
65,Hanoi Media Hotel and Spa,5.0,1346.0,4.0,Old Quarter ,Old Quarter,590 m ,D 43,10         ,
66,Golden Art Hotel,5.0,1920.0,3.0,Old Quarter ,Old Quarter,670 m ,D 34,         ,
67,The Ann Hanoi,4.5,926.0,4.0,Hai Ba Trung ,Old Quarter,2.8 km ,D 67,16         ,
68,Hanoi La Palm Premier Hotel&Spa,5.0,2783.0,4.0,Old Quarter ,,,D 43,11         ,
69,La Nueva Boutique Hotel Ha Noi,5.0,1883.0,4.0,Old Quarter ,,,D 67,16         ,
70,Rex Hanoi Hotel,4.5,220.0,4.0,Old Quarter ,Old Quarter,700 m ,D 63,9         ,
71,Hanoi Brilliant Hotel and Spa,5.0,849.0,4.0,Old Quarter ,,,D 79,19         ,
72,Hanoi Garden Hotel & Spa,5.0,377.0,4.0,Old Quarter ,Old Quarter,580 m ,D 45,11         ,
73,The Lapis Hotel,4.5,900.0,4.0,Hoan Kiem ,Old Quarter,2.2 km ,D 54,14         ,
74,Hanoi Sky Hotel,4.5,723.0,3.0,Hoan Kiem ,Old Quarter,1.8 km ,D 23,6         ,
75,Hilton Garden Inn Hanoi,4.5,788.0,4.0,Hoan Kiem ,Old Quarter,2.0 km ,D 92,         ,
76,Hanoi Le Jardin Hotel & Spa,5.0,560.0,4.0,Ba Dinh  ,Old Quarter,2.8 km ,D 47,12         ,
77,Oriental Suite Hotel & Spa,5.0,2929.0,4.0,Old Quarter ,Old Quarter,540 m ,D 45,10         ,
78,Singita Classy Boutique Hotel,5.0,62.0,4.0,Old Quarter ,,,D 42,10         ,
79,Hanoi Tokyo Hotel,,,4.0,Hoan Kiem ,Old Quarter,2.2 km ,D 66,         ,
80,May De Ville Premier Hotel and Spa,4.5,63.0,4.0,Old Quarter ,,,D 62,11         ,
81,Hanoi Ancient Paradise Hotel,4.5,1452.0,3.0,Old Quarter ,Old Quarter,800 m ,D 25,6         ,
82,Hanoi Boutique Hotel and Spa,5.0,235.0,3.0,Old Quarter ,,,D 53,14         ,
83,Blue Hanoi Inn Hotel,5.0,544.0,3.0,Old Quarter ,,,D 22,5         ,
84,Matilda Boutique and Spa Hotel,4.5,61.0,4.0,Old Quarter ,Old Quarter,750 m ,D 60,         ,
85,La Sinfonía Majesty Hotel and Spa,5.0,433.0,3.0,Old Quarter ,Old Quarter,630 m ,D 102,26         ,
86,Hanoi Aria Central Hotel & Spa,5.0,417.0,3.0,Hoan Kiem ,Old Quarter ,1.8 km ,D 20,5         ,
87,Vision Premier Hotel & Spa,4.5,143.0,3.0,Old Quarter ,,,D 26,6         ,
88,Hanoi Nostalgia Hotel & Spa,4.0,136.0,3.0,Old Quarter ,Old Quarter,750 m ,D 35,10         ,
89,San Grand Hotel,5.0,1643.0,4.0,Old Quarter ,Old Quarter,580 m ,D 71,19         ,
90,Kingly Hotel,4.0,31.0,3.0,Old Quarter ,Old Quarter,1.3 km ,D 26,6         ,
91,Silk Queen Hotel Hanoi,3.5,89.0,4.0,Old Quarter ,,,D 44,10         ,
92,Meritel Hanoi,5.0,453.0,4.0,Old Quarter ,,,D 65,15         ,
93,Hanoi Posh Boutique Hotel,4.5,483.0,3.0,Hoan Kiem ,Old Quarter,2.2 km ,D 25,6         ,
94,Super Hotel Candle,4.0,151.0,4.0,Ba Dinh,,,D 43,10         ,
95,Golden Moon Suite Hotel,5.0,481.0,3.0,Old Quarter ,,,D 32,7         ,
96,Lakeside Palace Hotel,4.0,56.0,3.0,Old Quarter ,Train Street,1.9 km ,D 31,8         ,
97,Hotel Garden Queen,4.0,88.0,3.0,Old Quarter ,Old Quarter,640 m ,D 52,12         ,
98,Hanoi Pearl Hotel,4.5,2041.0,4.0,Old Quarter ,Train Street,1.9 km ,D 51,11         ,
99,Lavender Central Hotel & Spa,5.0,3674.0,4.0,Old Quarter ,Old Quarter,630 m ,D 52,         ,
100,La Siesta Premium Hang Be,5.0,2348.0,4.0,Old Quarter ,,,D 132,32         ,
101,O'Gallery Premier Hotel & Spa,5.0,2954.0,4.0,Old Quarter ,,,D 55,12         ,
102,Hanoi E Central Hotel,5.0,1425.0,4.0,Old Quarter ,Old Quarter,720 m ,D 43,10         ,
103,Alisa Hotel & Spa,5.0,716.0,4.0,Old Quarter ,Old Quarter,830 m ,D 30,8         ,
104,Hanoi Crystal Pearl,4.5,25.0,3.0,Old Quarter ,,,D 37,9         ,
105,OYO 604 Queen Hotel (spot-on),3.5,51.0,3.0,Old Quarter ,,,D 11,2         ,
106,Holiday Emerald Hotel,5.0,843.0,3.0,Old Quarter ,,,D 28,7         ,
107,Hanoi Chic Boutique Hotel,4.5,307.0,3.0,Old Quarter ,Old Quarter,570 m ,D 32,8         ,
108,New Airport Hotel,4.5,165.0,3.0,Mai Đình ,city centre ,23.5 km ,D 19,         ,
109,Paragon Noi Bai Hotel and Pool,4.0,24.0,3.0,Phú Cường ,city centre ,30.2 km ,D 29,5         ,
110,Authentic Hanoi Boutique Hotel,4.5,934.0,4.0,Old Quarter ,Old Quarter,1.1 km ,D 50,         ,
111,Sofitel Legend Metropole Hanoi,5.0,8589.0,5.0,Old Quarter ,Old Quarter,1.5 km ,D 537,129         ,
112,Fraser Suites Hanoi,5.0,380.0,,Tay Ho (Westlake) ,Ho Tay lake (West Lake),1.1 km ,D 85,19         ,
113,L'Heritage Hotel,4.5,1424.0,4.0,Old Quarter ,,,D 49,12         ,
114,Grand Cititel Hanoi Hotel,4.5,181.0,4.0,Hoan Kiem ,Old Quarter,1.4 km ,D 49,11         ,
115,Flower Garden Hotel,4.5,501.0,4.0,Ba Dinh  ,Old Quarter,2.8 km ,D 78,19         ,
116,Capella Hanoi,5.0,232.0,5.0,Hoan Kiem ,Old Quarter,1.6 km ,D 437,104         ,
117,La Casa Hanoi Hotel,4.5,252.0,4.0,Hai Ba Trung ,Old Quarter,2.8 km ,D 58,14         ,
118,Golden Rooster Hotel,5.0,445.0,3.0,Old Quarter ,Old Quarter,720 m ,D 67,16         ,
119,Imperial Hotel & Spa Hanoi,,,4.0,Old Quarter ,,,D 58,13         ,
120,Millennium Hanoi 9 Hotel,4.0,18.0,3.0,Hoan Kiem ,Old Quarter ,1.5 km ,D 18,4         ,
121,My Way Hotel & Residence,4.5,48.0,4.0,Dịch Vọng Hậu ,city centre,8.7 km ,D 63,15         ,
122,Little Hanoi Deluxe Hotel,5.0,870.0,3.0,Old Quarter ,,,D 27,6         ,
123,Winter Boutique Hotel,5.0,1104.0,3.0,Old Quarter ,Old Quarter,960 m ,D 26,         ,
124,Hanoi Hotel Royal,5.0,912.0,3.0,Old Quarter ,Old Quarter,790 m ,D 33,8         ,
125,Skyline Hanoi Hotel,5.0,721.0,3.0,Old Quarter ,Old Quarter,710 m ,D 31,7         ,
126,Hanoi Golden Moon Hotel,5.0,764.0,3.0,Old Quarter ,Old Quarter,750 m ,D 32,7         ,
127,Splendid Hotel & Spa,5.0,672.0,3.0,Old Quarter ,,,D 40,10         ,
128,Luxury Hotel,5.0,514.0,3.0,Old Quarter ,,,D 26,6         ,
129,Au Coeur d'Hanoi Boutique Hotel,5.0,416.0,3.0,Old Quarter ,Old Quarter,630 m ,D 42,10         ,
130,Apricot Hotel,4.5,1360.0,5.0,Old Quarter ,,,D 127,32         ,
131,S Central Hotel and Spa,5.0,357.0,3.0,Old Quarter ,,,D 40,12         ,
132,Hanoi Little Town Hotel,4.5,499.0,3.0,Old Quarter ,,,D 28,7         ,
133,San Palace Hotel,5.0,315.0,3.0,Old Quarter ,,,D 70,         ,
134,La Dolce Vita,4.0,588.0,4.0,Old Quarter ,Old Quarter,680 m ,D 47,11         ,
135,Golden Lotus Luxury Hotel,4.0,561.0,4.0,Old Quarter ,Train Street,1.4 km ,D 45,12         ,
136,Hanoi La Selva Central Hotel,5.0,175.0,3.0,Old Quarter ,Old Quarter,600 m ,D 36,9         ,
137,The Hanoi Club Hotel & Residences,4.0,358.0,4.0,Tay Ho (Westlake) ,Old Quarter,4.0 km ,D 57,15         ,
138,The Noble Swan Hotel & Spa,4.5,48.0,4.0,Old Quarter ,,,D 46,10         ,
139,Zephyr Suites Boutique Hotel,4.0,243.0,4.0,Hoan Kiem ,Old Quarter,1.7 km ,D 70,19         ,
140,Hanoi Esplendor Hotel and Spa,5.0,119.0,3.0,Old Quarter ,,,D 51,12         ,
141,May De Ville Trendy Hotel & Spa,4.0,220.0,4.0,Hai Ba Trung ,Old Quarter,2.4 km ,D 90,21         ,
142,La Beaute Boutique Hotel & Spa,5.0,60.0,3.0,Old Quarter ,Old Quarter,680 m ,D 37,9         ,
143,Hanoi Victor Gallery Hotel & Spa,4.0,74.0,4.0,Old Quarter ,,,D 51,7         ,
144,La Santé Hotel & Spa,4.0,63.0,4.0,Ba Dinh  ,Old Quarter,3.3 km ,D 29,7         ,
145,Hanoi Daewoo Hotel,4.0,671.0,5.0,Ba Dinh  ,,,D 61,15         ,
146,Spoon Hotel,4.5,216.0,3.0,Old Quarter ,Old Quarter,610 m ,D 15,4         ,
147,Hillary Hanoi Hotel,,,4.0,Dịch Vọng ,city centre,7.6 km ,D 29,7         ,
148,Hanoi Elpis Hotel,4.5,95.0,3.0,Old Quarter ,Old Quarter,930 m ,D 18,5         ,
149,Centre Point Hanoi Hotel,4.5,247.0,3.0,Old Quarter ,,,D 107,25         ,
150,The Artisan Lakeview Hotel,4.5,419.0,3.0,Old Quarter ,Train Street,1.9 km ,D 42,10         ,
151,Hanoi Emotion Hotel,4.5,174.0,3.0,Cat Linh ,Old Quarter,2.8 km ,D 81,19         ,
152,The West Hotel & Spa,4.5,29.0,3.0,Old Quarter ,,,D 47,         ,
153,Eco Luxury Hotel Hanoi,4.0,252.0,3.0,Old Quarter ,Old Quarter,600 m ,D 31,7         ,
154,Hanoi Evergreen Hotel,3.5,170.0,2.0,Old Quarter ,Old Quarter,740 m ,D 9,2         ,
155,Oakwood Residence Hanoi,5.0,291.0,5.0,Tay Ho (Westlake) ,Ho Tay lake (West Lake),920 m ,D 91,21         ,
156,Jacosmo Hotel & Spa,5.0,826.0,4.0,Old Quarter ,Old Quarter,740 m ,D 53,12         ,
157,Fraser Residence Hanoi,5.0,35.0,5.0,Hanoi ,city centre,10.5 km ,D 82,20         ,
158,AncyrA TamTam Hotel by Continent - Near Hoan Kiem Lake,4.5,24.0,3.0,Old Quarter ,Old Quarter,540 m ,D 26,6         ,
159,May De Ville Legend Hotel and Spa,5.0,401.0,4.0,Old Quarter ,,,D 53,12         ,
160,Diamond Nostalgia Hotel & Spa,1.5,10.0,3.0,Old Quarter ,Old Quarter,710 m ,D 24,5         ,
161,Somerset West Lake Hanoi,4.0,173.0,4.0,Tay Ho (Westlake),,,D 42,7         ,
162,Especen Hotel,4.0,334.0,2.0,Old Quarter ,,,D 16,         ,
163,Little Hanoi Hotel,4.5,503.0,3.0,Old Quarter ,Train Street,1.9 km ,D 37,8         ,
164,Hanoi Siva Luxury Hotel & Travel,5.0,685.0,4.0,Old Quarter ,Old Quarter,690 m ,D 37,9         ,
165,Five Star Westlake 1st-4th Floors Hotel & Serviced Apartment,4.5,9.0,5.0,Ba Dinh,,,D 69,         ,
166,Old Quarter Hotel 1961,1.5,5.0,,Old Quarter ,Old Quarter,830 m ,D 7,         ,
167,Rose Garden Residence,4.5,50.0,4.0,Ba Dinh,,,D 40,11         ,
168,Family Transit Hotel,4.0,121.0,2.0,Phú Cường ,city centre ,29.1 km ,D 12,3         ,
169,Airport Hotel Hanoi Convenient & Friendly,5.0,21.0,2.0,Phú Cường ,city centre ,30.0 km ,D 29,7         ,
170,Eastin Hotel & Residences Hanoi,5.0,75.0,4.0,Dịch Vọng Hậu ,city centre,8.7 km ,D 86,21         ,
171,Parosand Hanoi Hotel & Apartment,5.0,6.0,4.0,Tay Ho (Westlake),,,D 26,6         ,
172,Serenity Diamond Hotel,4.5,549.0,3.0,Old Quarter ,Old Quarter,580 m ,D 26,         ,
173,The Five Residences Hanoi,,,5.0,Ba Dinh  ,Sky Lotte Observation Deck,830 m ,D 124,         ,
174,Hanoi Fiesta Hotel & Spa,5.0,59.0,4.0,Old Quarter ,Old Quarter,1.1 km ,D 47,11         ,
175,Phoenix Palace Hotel Hanoi,4.5,181.0,3.0,Old Quarter ,,,D 26,6         ,
176,JW Marriott Hotel Hanoi,5.0,2964.0,5.0,Mễ Trì ,city centre,9.8 km ,D 293,         ,
177,Golden Lotus Airport Hotel,,,3.0,Phú Cường ,city centre ,30.1 km ,D 20,3         ,
178,22Land Residence Hotel & Spa 52 Ngo Huyen,,,4.0,Old Quarter ,Old Quarter,510 m ,D 36,3         ,
179,Hong Ngoc Cochinchine Boutique Hotel & Spa,4.5,621.0,4.0,Ba Dinh  ,Old Quarter,2.8 km ,D 48,11         ,
180,Hanoi Gatsby Hotel,4.0,18.0,3.0,Old Quarter ,,,D 32,7         ,
181,Nesta Hotel Ha Noi,4.5,303.0,4.0,Hai Ba Trung ,Old Quarter,3.3 km ,D 44,11         ,
182,De Syloia Hotel,4.5,171.0,4.0,Hoan Kiem ,Old Quarter,2.3 km ,D 115,26         ,
183,Hanoi Lake View Hotel & Spa,4.5,114.0,4.0,Old Quarter ,,,D 70,17         ,
184,Parkside Sunline Hotel,4.5,76.0,4.0,Hai Ba Trung ,Old Quarter,4.8 km ,D 32,8         ,
185,The Q Hotel Hanoi,5.0,239.0,4.0,Ba Dinh  ,Old Quarter,2.8 km ,D 60,15         ,
186,Hanoi Backpackers Hostel & Rooftop bar,5.0,214.0,3.0,Old Quarter ,Old Quarter,620 m ,D 41,9         ,
187,Luxury Backpackers,5.0,1411.0,3.0,Old Quarter ,Old Quarter,510 m ,D 28,7         ,
188,Golden Villa Hotel,5.0,1310.0,3.0,Old Quarter ,Train Street,1.4 km ,D 42,         ,
189,Viet Village Hotel & Travel,4.5,146.0,3.0,Mai Đình ,city centre ,23.4 km ,D 27,         ,
190,Eliana Signature Hanoi Hotel,5.0,772.0,3.0,Old Quarter ,Old Quarter,650 m ,D 58,14         ,
191,Madelise Central Hotel & Travel,4.5,45.0,4.0,Old Quarter ,Old Quarter,930 m ,D 145,20         ,
192,Hanoi Bella Rosa Trendy Hotel,5.0,253.0,3.0,Old Quarter ,Old Quarter,780 m ,D 34,8         ,
193,Aquarius Grand Hotel,5.0,252.0,3.0,Old Quarter ,Old Quarter,720 m ,D 39,9         ,
194,Hanoi Emerald Waters Hotel & Spa,5.0,1096.0,4.0,Old Quarter ,Old Quarter,660 m ,D 49,12         ,
195,Hanoi Stella Hotel,5.0,217.0,3.0,Old Quarter ,Old Quarter,840 m ,D 38,         ,
196,BERYL CHARM HOTEL AND SPA,,,4.0,Old Quarter ,,,D 38,9         ,
197,Bluebell Hotel,4.0,199.0,1.0,Old Quarter ,,,D 13,         ,
198,Hanoi Paradise Hotel & Travel,5.0,1485.0,4.0,Old Quarter ,Old Quarter,610 m ,D 131,31         ,
199,Blue Hanoi Inn City Hotel,4.5,10.0,3.0,Trung Hoà ,city centre,8.2 km ,D 18,4         ,
200,La Storia Ruby Hotel & Travel,5.0,812.0,3.0,Old Quarter ,,,D 72,         ,
201,VATC SleepPod Terminal 1,4.0,77.0,1.0,Phú Cường ,city centre ,27.6 km ,D 44,10         ,
202,Hanoi Veris Boutique Hotel & Spa,5.0,66.0,3.0,Old Quarter ,,,D 39,9         ,
203,The Light Hotel,4.5,912.0,4.0,Old Quarter ,,,D 42,12         ,
204,Royal Holiday Hanoi Hotel,5.0,87.0,3.0,Old Quarter ,Train Street,1.9 km ,D 49,         ,
205,Victor Hotel Cau Giay,,,3.0,Quan Hoa,,,D 20,5         ,
206,Essence d'Orient Hotel & Spa,5.0,796.0,3.0,Old Quarter ,Old Quarter,630 m ,D 66,         ,
207,Hanoi Sunshine Hotel,4.5,571.0,3.0,Old Quarter ,,,D 54,16         ,
208,Hotel De La Seine,5.0,6.0,3.0,Văn Miếu ,Old Quarter ,2.1 km ,D 30,5         ,
209,Rising Dragon Estate Hotel,4.5,500.0,3.0,Old Quarter ,Old Quarter,610 m ,D 22,6         ,
210,Phoenix Legend Hotel,4.5,348.0,3.0,Old Quarter ,,,D 26,6         ,
211,Parklane Hanoi Hotel,4.5,322.0,3.0,Old Quarter ,,,D 30,7         ,
