,hotelname,rating,reviews,star rating, location, nearest, distance nearest,price,tax,tax
896,22Land Residence Hotel & Spa 52 Ngo Huyen,,,4.0,Hoan Kiem (Old Quarter) ,,,D 36,,3
897,Nesta Hotel Ha Noi,4.5,303.0,4.0,Hai Ba Trung ,,,D 45,,10
898,Diamond Westlake Suites,4.5,216.0,5.0,Tay Ho (Westlake),,,D 49,,12
899,De Syloia Hotel,4.5,171.0,4.0,Hoan Kiem (Old Quarter) ,,,D 99,,23
900,HNC Premier Hotel & Residences,5.0,34.0,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,9
901,Hanoi Backpackers Hostel & Rooftop bar,5.0,216.0,3.0,Hoan Kiem (Old Quarter) ,,,D 41,,9
902,Hanoi Lake View Hotel & Spa,4.5,114.0,4.0,Hoan Kiem (Old Quarter) ,,,D 70,,17
903,Luxury Hotel,5.0,514.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
904,Lenid Hotel Tho Nhuom,4.5,80.0,4.0,Hoan Kiem (Old Quarter) ,,,D 38,,9
905,Mina Hotel & Spa,4.5,50.0,4.0,Hoan Kiem (Old Quarter) ,,,D 46,,10
906,Parkside Sunline Hotel,4.5,76.0,4.0,Hai Ba Trung ,,,D 39,,9
907,Rose Garden Residence,4.5,50.0,4.0,Ba Dinh,,,D 49,,12
908,Hanoi La Siesta Hotel & Spa,5.0,5851.0,4.0,Hoan Kiem (Old Quarter) ,,,D 89,,20
909,Luxury Backpackers,5.0,1411.0,3.0,Hoan Kiem (Old Quarter) ,,,D 29,,7
910,Golden Villa Hotel,5.0,1310.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,
911,Aviary Hanoi Hotel & Travel,,,4.0,Hoan Kiem (Old Quarter) ,,,D 40,,3
912,Eliana Signature Hanoi Hotel,5.0,772.0,3.0,Hoan Kiem (Old Quarter) ,,,D 92,,21
913,Madelise Central Hotel & Travel,4.5,45.0,4.0,Hoan Kiem (Old Quarter) ,,,D 144,,20
914,Serene Boutique Hotel & Spa,5.0,971.0,4.0,Hoan Kiem (Old Quarter) ,,,D 36,,
915,Viet Village Hotel & Travel,4.5,146.0,3.0,Mai Đình ,city centre ,23.4 km ,D 27,,
916,Hanoi Bella Rosa Trendy Hotel,5.0,254.0,3.0,Hoan Kiem (Old Quarter) ,,,D 42,,10
917,Somerset West Lake Hanoi,4.0,173.0,4.0,Tay Ho (Westlake),,,D 42,,7
918,Hanoi Stella Hotel,5.0,217.0,3.0,Hoan Kiem (Old Quarter) ,,,D 28,,
919,Bluebell Hotel,4.0,199.0,1.0,Hoan Kiem (Old Quarter) ,,,D 14,,
920,Hanoi Paradise Hotel & Travel,5.0,1485.0,3.0,Hoan Kiem (Old Quarter) ,,,D 127,,31
921,La Storia Ruby Hotel & Travel,5.0,812.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,
922,Hanoi Veris Boutique Hotel & Spa,5.0,66.0,3.0,Hoan Kiem (Old Quarter) ,,,D 77,,18
923,Hanoi Charming House,4.5,1373.0,2.0,Hoan Kiem (Old Quarter) ,,,D 21,,5
924,Smarana Hanoi Heritage,,,4.0,Dịch Vọng Hậu ,city centre,8.4 km ,D 271,,
925,Royal Holiday Hanoi Hotel,5.0,87.0,3.0,Hoan Kiem (Old Quarter) ,,,D 62,,
926,Essence d'Orient Hotel & Spa,5.0,796.0,3.0,Hoan Kiem (Old Quarter) ,,,D 47,,11
927,Hanoi Sunshine Hotel,4.5,571.0,3.0,Hoan Kiem (Old Quarter) ,,,D 52,,14
928,Rising Dragon Estate Hotel,4.5,500.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
929,Phoenix Legend Hotel,4.5,348.0,3.0,Hoan Kiem (Old Quarter) ,,,D 26,,6
930,Parklane Hanoi Hotel,4.5,322.0,3.0,Hoan Kiem (Old Quarter) ,,,D 30,,7
931,Hanoi Larosa Hotel,4.5,286.0,3.0,Văn Miếu ,,,D 47,,11
932,Icon 36 Hotel & Residence,4.5,312.0,3.0,Hoan Kiem (Old Quarter) ,,,D 50,,12
933,Parkson Hotel Hanoi,4.5,287.0,3.0,Hoan Kiem (Old Quarter) ,,,D 50,,11
934,Minerva Church Hotel,4.5,23.0,4.0,Hoan Kiem (Old Quarter) ,,,D 62,,15
935,Hanoi A1 Hotel,4.5,226.0,3.0,Hoan Kiem (Old Quarter) ,,,D 62,,15
936,HAAP Transit Hotel,4.5,209.0,3.0,Mai Đình ,city centre ,23.3 km ,D 29,,7
937,Eternity Hanoi Hotel,3.5,12.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,6
938,Hanoi Emotion Hotel,4.5,174.0,3.0,Cat Linh ,,,D 81,,19
939,The Light Hotel,4.5,915.0,4.0,Hoan Kiem (Old Quarter) ,,,D 46,,10
940,Hanoi Malo Boutique Hotel,4.5,159.0,3.0,Hoan Kiem (Old Quarter) ,,,D 56,,15
941,Serenity Villa Hotel,4.5,516.0,3.0,Hoan Kiem (Old Quarter) ,,,D 36,,
942,Hanoi Massive Hostel,5.0,81.0,2.0,Hoan Kiem (Old Quarter) ,,,D 10,,for
943,Bao Son International Hotel,3.5,84.0,4.0,Ba Dinh,,,D 72,,17
944,Muong Thanh Grand Hanoi Hotel,3.5,98.0,4.0,Đại Kim ,city centre,9.3 km ,D 45,,11
945,Emerald Hotel Hanoi,4.5,78.0,3.0,Hai Ba Trung ,,,D 41,,10
946,Hanoi House Hostel & Travel,5.0,2156.0,2.0,Hoan Kiem (Old Quarter) ,,,D 69,,18
947,Vong Xua Hotel,4.5,62.0,3.0,Hai Ba Trung,,,D 22,,5
948,Hanoi La Mejor Hotel & Sky Bar,5.0,3381.0,4.0,Hoan Kiem (Old Quarter) ,,,D 67,,15
949,Sweet Family Guest House,4.5,56.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,10
950,Ibiz City Hostel,3.5,108.0,2.0,Hoan Kiem (Old Quarter) ,,,D 14,,
951,HANZ Kieu Anh Hotel,,,2.0,Trung Hoà ,city centre,7.7 km ,D 27,,
952,Western Hanoi Hotel,4.0,25.0,4.0,Dịch Vọng Hậu ,city centre,7.7 km ,D 25,,6
953,The Pearl Hotel,4.0,12.0,3.0,Ba Dinh,,,D 31,,7
954,Riverside Hanoi Hotel,3.5,38.0,4.0,Nghĩa Đô,,,D 25,,6
955,Chikoo Homestay (spot-on),,,3.0,Ba Dinh  ,,,D 9,,2
956,Lucky 3 Hotel & Travel,4.0,225.0,3.0,Hoan Kiem (Old Quarter) ,,,D 27,,7
957,Mai Charming Hotel & Spa,4.5,389.0,3.0,Hoan Kiem (Old Quarter) ,,,D 41,,9
958,Calidas Landmark72 Royal Residence Hanoi,4.0,33.0,5.0,Mỹ Đình 1 ,city centre,8.8 km ,D 115,,27
959,Hanoi Starlight Hotel,4.0,233.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,5
960,Hanoi Morning Hotel,4.0,181.0,3.0,Hoan Kiem (Old Quarter) ,,,D 38,,9
961,HANZ Hanoi De Maison Grand Hotel,4.0,134.0,3.0,Hoan Kiem (Old Quarter) ,,,D 30,,7
962,JM Marvel Hotel & Spa,5.0,1784.0,4.0,Hoan Kiem (Old Quarter) ,,,D 73,,17
963,Fraser Residence Hanoi,5.0,35.0,5.0,Hanoi ,city centre,10.5 km ,D 82,,20
964,Moon View Hotel,4.0,110.0,3.0,Ba Dinh  ,,,D 62,,15
965,Hong Ha Hotel,4.0,86.0,3.0,Hoan Kiem (Old Quarter) ,,,D 43,,10
966,Hanoi Boutique Hotel and Spa,5.0,235.0,3.0,Hoan Kiem (Old Quarter) ,,,D 43,,12
967,Thang Long Espana Hotel,4.0,76.0,3.0,Ba Dinh  ,,,D 63,,15
968,Hanoi Vision Boutique Hotel,4.5,29.0,3.0,Hoan Kiem (Old Quarter) ,,,D 55,,12
969,Ping Hanoi Hotel,4.0,49.0,3.0,Mễ Trì ,city centre,10.1 km ,D 52,,12
970,Hanoi Marvellous Hotel & Spa,5.0,2590.0,4.0,Hoan Kiem (Old Quarter) ,,,D 69,,12
971,La Sinfonía del Rey Hotel & Spa,5.0,1623.0,4.0,Hoan Kiem (Old Quarter) ,,,D 128,,30
972,Hanoi E Central Hotel,5.0,1425.0,4.0,Hoan Kiem (Old Quarter) ,,,D 42,,9
973,Bendecir Hotel & Spa,5.0,968.0,4.0,Hoan Kiem (Old Quarter) ,,,D 66,,
974,Solaria Hotel,5.0,683.0,4.0,Hoan Kiem (Old Quarter) ,,,D 107,,25
975,Tirant Hotel,5.0,987.0,4.0,Hoan Kiem (Old Quarter) ,,,D 69,,16
976,Alisa Hotel & Spa,5.0,716.0,4.0,Hoan Kiem (Old Quarter) ,,,D 183,,43
977,Hanoi Golden Hostel,4.5,46.0,2.0,Hoan Kiem (Old Quarter) ,,,D 17,,4
978,Hanoi L'heritage Diamond Hotel & Spa,5.0,780.0,4.0,Hoan Kiem (Old Quarter) ,,,D 52,,12
979,Shining Central Hotel & Spa,5.0,473.0,4.0,Hoan Kiem (Old Quarter) ,,,D 58,,
980,Hanoi La Siesta Central Hotel & Spa,5.0,437.0,4.0,Hoan Kiem (Old Quarter) ,,,D 173,,44
981,Anatole Hotel Hanoi,5.0,405.0,4.0,Hoan Kiem (Old Quarter) ,,,D 85,,21
982,L’HÔTEL du LAC Hanoi,5.0,380.0,4.0,Hoan Kiem (Old Quarter) ,,,D 86,,16
983,May De Ville Legend Hotel and Spa,5.0,401.0,4.0,Hoan Kiem (Old Quarter) ,,,D 52,,12
984,Babylon Premium Hotel & Spa,5.0,282.0,4.0,Hoan Kiem (Old Quarter) ,,,D 52,,
985,Luxury Old Quarter Hotel & Gym,5.0,295.0,4.0,Hoan Kiem (Old Quarter) ,,,D 47,,11
986,Hanoi Allure Hotel,5.0,264.0,4.0,Hoan Kiem (Old Quarter) ,,,D 93,,21
987,The Q Hotel Hanoi,5.0,239.0,4.0,Ba Dinh  ,,,D 54,,12
988,Halais Hotel,4.0,7.0,4.0,Hai Ba Trung ,,,D 34,,9
989,Lotusama Hanoi Hotel,5.0,184.0,4.0,Hoan Kiem (Old Quarter) ,,,D 45,,11
990,A25 Hotel - 23 Quan Thanh,3.5,98.0,4.0,Ba Dinh  ,,,D 30,,7
991,Impressive Boutique Hotel,4.5,70.0,2.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
992,Nesta Boutique Hotel Ha Noi,5.0,110.0,4.0,Hai Ba Trung ,,,D 33,,7
993,Hoa Binh Hotel,3.5,148.0,3.0,Hoan Kiem (Old Quarter) ,,,D 57,,13
994,Atrium Hanoi Hotel,3.5,157.0,3.0,Hoan Kiem (Old Quarter) ,,,D 74,,18
995,Maya Boutique Hotel & Spa,5.0,88.0,4.0,Hoan Kiem (Old Quarter) ,,,D 40,,9
996,Hanoi Central Backpackers Hostel,4.5,388.0,,Hoan Kiem (Old Quarter) ,,,D 10,,for
997,HANOI FLORA HOTEL,,,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,
998,Hanoi Buffalo Hostel,5.0,133.0,,Hoan Kiem (Old Quarter) ,,,D 12,,for
999,Midori Boutique Hotel,5.0,62.0,4.0,Hai Ba Trung ,,,D 46,,12
1000,Peridot Grand Luxury Boutique Hotel,5.0,1011.0,5.0,Hoan Kiem (Old Quarter) ,,,D 156,,35
1001,Millan Home,4.5,18.0,3.0,Ba Dinh  ,,,D 26,,6
1002,Sunny 3 Hotel Hanoi,3.5,48.0,3.0,Cat Linh ,,,D 33,,7
1003,Conifer Boutique Hotel,4.5,702.0,4.0,Hoan Kiem (Old Quarter) ,,,D 52,,12
1004,Family Transit 2 Hotel,4.0,58.0,2.0,Phú Cường ,city centre ,27.4 km ,D 12,,3
1005,Sunline Hotel,4.5,377.0,4.0,Hoan Kiem (Old Quarter) ,,,D 49,,12
1006,Gallant Hotel,4.5,16.0,3.0,Hai Ba Trung ,,,D 62,,14
1007,Oriental Palace,4.0,8.0,3.0,Tay Ho (Westlake) ,,,D 27,,6
1008,Melia Ba Vi Mountain Retreat,4.5,334.0,4.0,Ba Vi ,city centre,67.7 km ,D 277,,38
1009,Hanoi Rosaliza Hotel,4.5,327.0,4.0,Hoan Kiem (Old Quarter) ,,,D 30,,7
1010,Golden Time Hostel,4.5,262.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,5
1011,La Passion Hanoi Hotel & Spa,4.5,72.0,4.0,Hoan Kiem (Old Quarter) ,,,D 74,,17
1012,Sen Luxury Hotel,4.5,70.0,4.0,Quan Hoa ,city centre ,6.3 km ,D 34,,8
1013,Blue Hanoi Hotel,5.0,12.0,3.0,Hai Ba Trung ,,,D 30,,7
1014,Marigold Hotel Hanoi,,,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,9
1015,Little Charm Hanoi Hostel,5.0,508.0,3.0,Hoan Kiem (Old Quarter) ,,,D 20,,5
1016,Hotel Kuretakeso Tho Nhuom 84,4.5,54.0,4.0,Hoan Kiem (Old Quarter) ,,,D 51,,12
1017,Zody House,5.0,11.0,3.0,Hoan Kiem (Old Quarter) ,,,D 26,,6
1018,GRAND HOTEL du LAC Hanoi,,,5.0,Hoan Kiem (Old Quarter) ,,,D 148,,20
1019,Hanoi La Selva Hotel,5.0,2269.0,3.0,Hoan Kiem (Old Quarter) ,,,D 48,,
1020,Golden Sun Hotel,5.0,1567.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,
1021,Hanoi EcoStay 1 hostel,4.5,27.0,2.0,Hoan Kiem (Old Quarter) ,,,D 12,,for
1022,Hanoi Trendy Hotel & Spa,5.0,1447.0,3.0,Hoan Kiem (Old Quarter) ,,,D 36,,8
1023,Hanoi Bonsella Hotel,5.0,1205.0,3.0,Hoan Kiem (Old Quarter) ,,,D 60,,15
1024,Mercury Central Hotel Hanoi,5.0,1086.0,3.0,Hoan Kiem (Old Quarter) ,,,D 50,,
1025,Golden Legend Diamond Hotel,5.0,1076.0,3.0,Hoan Kiem (Old Quarter) ,,,D 55,,
1026,Old Quarter View Hanoi Hostel,5.0,818.0,3.0,Hoan Kiem (Old Quarter) ,,,D 20,,for
1027,Hanoi La Castela Hotel,5.0,733.0,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,9
1028,Haibay hotel,5.0,800.0,4.0,Hoan Kiem (Old Quarter) ,,,D 48,,11
1029,Lala's Home,,,3.0,Hoan Kiem (Old Quarter) ,,,D 32,,7
1030,La Sinfonía del Rey Hotel & Spa,5.0,1623.0,4.0,Hoan Kiem (Old Quarter) ,,,D 82,,19
1031,Madelise Palace Hotel & Spa,,,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,
1032,Hanoi Lakeside Premium Hotel,5.0,69.0,3.0,Hoan Kiem (Old Quarter) ,,,D 55,,14
1033,Carillon Boutique Hotel,4.0,17.0,3.0,Hoan Kiem (Old Quarter) ,,,D 41,,
1034,Hanoi Center Silk Boutique Hotel & Travel,,,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,
1035,Hanoi Calista Hotel,,,3.0,Hoan Kiem (Old Quarter) ,,,D 72,,10
1036,Mia Casa by Satori,3.5,5.0,3.0,Hoan Kiem (Old Quarter) ,,,D 54,,12
1037,La Sinfonía Majesty Hotel and Spa,5.0,433.0,3.0,Hoan Kiem (Old Quarter) ,,,D 102,,24
1038,Hanoi Central Hotel & Residences,5.0,385.0,3.0,Hoan Kiem (Old Quarter) ,,,D 73,,
1039,Golden Rooster Hotel,5.0,445.0,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,8
1040,LeaH Silk Hotel,5.0,194.0,4.0,Hoan Kiem (Old Quarter) ,,,D 80,,18
1041,Babylon Premium Hotel & Spa,5.0,282.0,4.0,Hoan Kiem (Old Quarter) ,,,D 102,,23
1042,Diamond Nostalgia Hotel & Spa,1.5,10.0,3.0,Hoan Kiem (Old Quarter) ,,,D 27,,6
1043,Thang Long Espana Hotel,4.0,76.0,3.0,Ba Dinh  ,,,D 63,,15
1044,Banana Inn Hostel,,,2.0,Hoan Kiem (Old Quarter) ,,,D 18,,for
1045,Hanoian Central Hotel & Spa,5.0,430.0,4.0,Hoan Kiem (Old Quarter) ,,,D 75,,
1046,Babylon Grand Hotel & Spa,4.0,95.0,4.0,Ba Dinh  ,,,D 48,,11
1047,La Sinfonia Citadel hotel and Spa,5.0,1053.0,4.0,Hoan Kiem (Old Quarter) ,,,D 106,,26
1048,Kingly Hotel,4.0,31.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,5
1049,Hanoi Fantasea Hotel,3.5,42.0,,Hoan Kiem (Old Quarter) ,,,D 15,,
1050,Oakwood Residence Hanoi,5.0,299.0,5.0,Tay Ho (Westlake) ,,,D 72,,16
1051,Somerset West Point Hanoi,4.5,133.0,5.0,Tay Ho (Westlake) ,,,D 80,,21
1052,A25 Hotel - 96 Hai Ba Trung,,,,Hoan Kiem (Old Quarter) ,,,D 37,,8
1053,Hanoi Hotel Royal,5.0,912.0,3.0,Hoan Kiem (Old Quarter) ,,,D 43,,
1054,Hanoi Bella Rosa Suite Hotel & Spa,5.0,579.0,3.0,Hoan Kiem (Old Quarter) ,,,D 68,,
1055,Hanoi City Guest House,4.5,507.0,3.0,Hoan Kiem (Old Quarter) ,,,D 33,,7
1056,L’HÔTEL du LAC Hanoi,5.0,380.0,4.0,Hoan Kiem (Old Quarter) ,,,D 86,,16
1057,Hanoi Lion Boutique Hotel,,,4.0,Hoan Kiem (Old Quarter) ,,,D 84,,12
1058,Hanoi Victor Gallery Hotel & Spa,4.0,74.0,4.0,Hoan Kiem (Old Quarter) ,,,D 54,,5
1059,TK123 Hanoi Hotel,4.5,77.0,3.0,Hoan Kiem (Old Quarter) ,,,D 28,,7
1060,Mai Charming Hotel & Spa,4.5,389.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,
1061,Hanoi calido hotel,,,3.0,Hoan Kiem (Old Quarter) ,,,D 38,,
1062,San Premium Hotel,5.0,404.0,4.0,Hoan Kiem (Old Quarter) ,,,D 39,,9
1063,Holiday Lakeview Hotel,,,2.0,Hoan Kiem (Old Quarter) ,,,D 21,,
1064,Hanoi Media Hotel and Spa,5.0,1346.0,4.0,Hoan Kiem (Old Quarter) ,,,D 43,,10
1065,OYO 604 Queen Hotel (spot-on),3.5,51.0,3.0,Hoan Kiem (Old Quarter) ,,,D 11,,2
1066,Vyhouse Hanoi Hotel,,,3.0,Nhân Chính ,city centre,7.3 km ,D 20,,5
1067,Lux Westlake Studio,,,2.0,Ba Dinh  ,,,D 49,,
1068,Maison Mackeno,,,,Hoan Kiem (Old Quarter) ,,,D 32,,4
1069,Cera Home,,,2.0,Tay Ho (Westlake) ,,,D 19,,4
1070,Hanoi Golden Moon Hotel,5.0,764.0,3.0,Hoan Kiem (Old Quarter) ,,,D 34,,8
1071,Meritel Hanoi,5.0,453.0,4.0,Hoan Kiem (Old Quarter) ,,,D 74,,17
1072,SPOT ON 619 Chikoo Homestay,,,2.0,Ba Dinh  ,,,D 11,,
1073,T&B HOUSING,,,,Ba Dinh  ,,,D 19,,
1074,Usu Homestay,,,,Ba Dinh  ,,,D 36,,
1075,San Boutique Hotel,5.0,643.0,3.0,Hoan Kiem (Old Quarter) ,,,D 52,,
1076,Zody House,5.0,11.0,3.0,Hoan Kiem (Old Quarter) ,,,D 26,,6
1077,Hanoi Retro 80S Homestay,,,,Hoan Kiem (Old Quarter) ,,,D 17,,
1078,Hanoi La Mejor Hotel & Sky Bar,5.0,3381.0,4.0,Hoan Kiem (Old Quarter) ,,,D 76,,17
1079,Paradise Luxury Apart Xuan Dieu,,,3.0,Tay Ho (Westlake) ,,,D 58,,
1080,3T Hotel & Travel 2,,,2.0,Hoan Kiem (Old Quarter) ,,,D 21,,3
1081,Hanoi Moonlight Hotel,,,3.0,Hoan Kiem (Old Quarter) ,,,D 21,,5
1082,Tunger Grand Hotel,,,2.0,Hoan Kiem (Old Quarter) ,,,D 47,,
1083,Sun Clover Boutique Hotel,,,3.0,Tay Ho (Westlake) ,,,D 21,,
1084,Amorita Boutique Hotel,4.5,278.0,3.0,Hoan Kiem (Old Quarter) ,,,D 32,,7
1085,Hanoi Lullaby Hotel & Travel,4.5,37.0,3.0,Hoan Kiem (Old Quarter) ,,,D 43,,
1086,Old Quarter View Hanoi Hostel,5.0,818.0,3.0,Hoan Kiem (Old Quarter) ,,,D 20,,for
1087,Flora Centre Hotel & Spa,4.5,8.0,4.0,Hoan Kiem (Old Quarter) ,,,D 59,,
1088,Hanoi La Castela Hotel,5.0,733.0,3.0,Hoan Kiem (Old Quarter) ,,,D 41,,10
1089,Hanoi Bonsella Hotel,5.0,1205.0,3.0,Hoan Kiem (Old Quarter) ,,,D 60,,14
1090,The Autumn Homestay,,,3.0,Ba Dinh  ,,,D 14,,
1091,Hanoi La Vision Hotel,4.0,19.0,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,6
1092,Golden Legend Diamond Hotel,5.0,1076.0,3.0,Hoan Kiem (Old Quarter) ,,,D 46,,
1093,Hanoi Royal Palace Hotel 2,4.5,2241.0,4.0,Hoan Kiem (Old Quarter) ,,,D 60,,
1094,Golden Time Hostel 3,4.0,515.0,2.0,Hoan Kiem (Old Quarter) ,,,D 24,,
1095,Nexy Hostel,4.5,383.0,2.0,Hoan Kiem (Old Quarter) ,,,D 12,,for
1096,Hanoi Center Silk Classic Hotel & Travel,,,3.0,Hoan Kiem (Old Quarter) ,,,D 39,,
1097,La Siesta Classic Hang Thung,,,5.0,Hoan Kiem (Old Quarter) ,,,D 76,,17
1098,The Flower Boutique Hotel & Travel,,,4.0,Ba Dinh  ,,,D 41,,
1099,Golden Villa Hotel,5.0,1310.0,3.0,Hoan Kiem (Old Quarter) ,,,D 43,,
1100,Queen Cafe Hotel & Pub,,,2.0,Hoan Kiem (Old Quarter) ,,,D 33,,
1101,Hanoi Peridot Hotel,4.5,832.0,3.0,Hoan Kiem (Old Quarter) ,,,D 58,,14
1102,Hanoi Esplendor Hotel and Spa,5.0,119.0,3.0,Hoan Kiem (Old Quarter) ,,,D 59,,
1103,Hanoi Malo Boutique Hotel,4.5,159.0,3.0,Hoan Kiem (Old Quarter) ,,,D 66,,17
1104,Little Hanoi Hostel,4.5,709.0,1.0,Hoan Kiem (Old Quarter) ,,,D 11,,for
1105,Hanoi Aria Central Hotel & Spa,5.0,417.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,5
1106,Hanoi Allure Hotel,5.0,264.0,4.0,Hoan Kiem (Old Quarter) ,,,D 142,,33
1107,Hanoi HM Boutique Hotel,4.5,449.0,3.0,Hoan Kiem (Old Quarter) ,,,D 39,,9
1108,Hanoi Pho Hotel,4.5,697.0,2.0,Hoan Kiem (Old Quarter) ,,,D 16,,
1109,Bayhomes D' Le Roi Soleil Apartment,,,3.0,Tay Ho (Westlake) ,,,D 54,,
1110,GRAND HOTEL du LAC Hanoi,,,5.0,Hoan Kiem (Old Quarter) ,,,D 148,,20
1111,Hanoi Starlight Hotel,4.0,233.0,3.0,Hoan Kiem (Old Quarter) ,,,D 22,,5
1112,La Palm Hotel,4.5,361.0,3.0,Hoan Kiem (Old Quarter) ,,,D 32,,7
1113,Memory Legends Hotel,5.0,540.0,3.0,Hoan Kiem (Old Quarter) ,,,D 30,,7
1114,Millan Home,4.5,18.0,3.0,Ba Dinh  ,,,D 26,,6
1115,Hanoi La Selva Hotel,5.0,2269.0,3.0,Hoan Kiem (Old Quarter) ,,,D 44,,
1116,Hanoi Gatsby Hotel,4.0,18.0,3.0,Hoan Kiem (Old Quarter) ,,,D 35,,8
1117,HANOI FLORA HOTEL,,,4.0,Hoan Kiem (Old Quarter) ,,,D 40,,5
1118,Concon House,,,3.0,Hoan Kiem (Old Quarter) ,,,D 63,,
1119,La Renta Hotel & Spa,,,2.0,Hoan Kiem (Old Quarter) ,,,D 36,,
1120,Hanoi Lake View Hotel & Spa,4.5,114.0,4.0,Hoan Kiem (Old Quarter) ,,,D 87,,21
1121,Skyline Hanoi Hotel,5.0,721.0,3.0,Hoan Kiem (Old Quarter) ,,,D 28,,7
1122,Hanoi La Selva Central Hotel,5.0,175.0,3.0,Hoan Kiem (Old Quarter) ,,,D 40,,10
1123,Little Hanoi Hotel,4.5,503.0,3.0,Hoan Kiem (Old Quarter) ,,,D 37,,8
1124,Maro Hotel,4.5,48.0,3.0,Hoan Kiem (Old Quarter) ,,,D 54,,12
1125,Golden Moon Suite Hotel,5.0,481.0,3.0,Hoan Kiem (Old Quarter) ,,,D 32,,7
1126,Sunny Hanoi Homestay,,,,Hoan Kiem (Old Quarter) ,,,D 23,,
1127,Queen Light Hotel,4.5,203.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,6
1128,Hanoi Golden Charm Hotel,4.5,540.0,2.0,Hoan Kiem (Old Quarter) ,,,D 33,,
1129,Silk Castle Hotel & Spa,,,2.0,Hoan Kiem (Old Quarter) ,,,D 38,,
1130,La Passion Hanoi Hotel & Apartment,,,3.0,Hoan Kiem (Old Quarter) ,,,D 38,,
1131,Sakura Hotel 3,4.0,48.0,3.0,Ba Dinh  ,,,D 55,,13
1132,22land Residence Hotel 71 Hang Bong,,,4.0,Hoan Kiem (Old Quarter) ,,,D 41,,
1133,Golden Legend Palace Hotel,5.0,122.0,3.0,Hoan Kiem (Old Quarter) ,,,D 38,,
1134,MayHouse Travel,,,,Hoan Kiem (Old Quarter) ,,,D 31,,
1135,The Art Classic hotel 59 Phủ Doãn,,,1.0,Hoan Kiem (Old Quarter) ,,,D 26,,
1136,Paradise Home Luxury Apartment Tu Hoa,,,3.0,Tay Ho (Westlake) ,,,D 33,,
1137,Hi-Home - D'Le Roi Soleil Xuan Dieu/Tay Ho,,,,Tay Ho (Westlake) ,,,D 75,,
1138,Migo Housing 1 - Beer Street - Old Quarter,,,,Hoan Kiem (Old Quarter) ,,,D 33,,
1139,Dinh Ami Hanoi Hotel,,,3.0,Trung Hoà ,city centre,7.5 km ,D 28,,6
1140,Azumaya Hotel Kim Ma 2,,,2.0,Ba Dinh  ,,,D 73,,
1141,Era Kim Mã Apartment,,,,Ba Dinh  ,,,D 23,,
1142,Dal Vostro Hotel & Spa,5.0,494.0,4.0,Hoan Kiem (Old Quarter) ,,,D 42,,10
1143,Trang Trang Premium Hotel,4.5,79.0,3.0,Hoan Kiem (Old Quarter) ,,,D 45,,10
1144,Hanoi Lotus Boutique Hotel,4.5,808.0,3.0,Hoan Kiem (Old Quarter) ,,,D 40,,
1145,Little Diamond Hotel,4.5,732.0,3.0,Hoan Kiem (Old Quarter) ,,,D 25,,
1146,Solaria Hotel,5.0,683.0,4.0,Hoan Kiem (Old Quarter) ,,,D 191,,
1147,Aira Boutique Hanoi Hotel & Spa,,,4.0,Hoan Kiem (Old Quarter) ,,,D 97,,
1148,Minasi Premium Hotel,,,4.0,Ba Dinh  ,,,D 53,,7
1149,Hang Bun Homestay (Sushi House Ba Dinh),,,,Ba Dinh  ,,,D 22,,
1150,Hanoi Brilliant Hotel and Spa,5.0,864.0,4.0,Hoan Kiem (Old Quarter) ,,,D 61,,14
1151,Soleil Boutique Hotel,5.0,311.0,4.0,Hoan Kiem (Old Quarter) ,,,D 106,,25
1152,Miah Boutique,,,,Hoan Kiem (Old Quarter) ,,,D 24,,5
1153,Serene Boutique Hotel & Spa,5.0,971.0,4.0,Hoan Kiem (Old Quarter) ,,,D 41,,
1154,Hanoi Siva Luxury Hotel & Travel,5.0,685.0,4.0,Hoan Kiem (Old Quarter) ,,,D 42,,9
1155,Hanoi Memory Premier Hotel & Spa,,,3.0,Hoan Kiem (Old Quarter) ,,,D 24,,
1156,Singita Classy Boutique Hotel,5.0,62.0,4.0,Hoan Kiem (Old Quarter) ,,,D 46,,11
